k_matrix,k_fault,viscosity,S_matrix,S_fault,rate,fz_thickness
3.72759372031494E-14,1.17876863479359E-13,0.0001,2.45714285714286E-11,2.45714285714286E-11,20,15
3.72759372031494E-14,2.68269579527973E-13,0.0001428571,1.32857142857143E-11,1.32857142857143E-11,20,15
3.72759372031494E-14,2.68269579527973E-13,0.0003,1.26142857142857E-10,1.48714285714286E-10,20,15
3.72759372031494E-14,6.10540229658534E-13,0.0002285714,1.14857142857143E-10,1.37428571428571E-10,20,15
3.72759372031494E-14,1.38949549437314E-12,0.0001571429,3.58571428571428E-11,1.14857142857143E-10,20,15
3.72759372031494E-14,1.38949549437314E-12,0.0002857143,1.32857142857143E-11,4.71428571428571E-11,20,15
3.72759372031494E-14,3.16227766016838E-12,0.0001857143,8.1E-11,1.37428571428571E-10,20,15
3.72759372031494E-14,7.19685673001153E-12,0.0001,2.45714285714286E-11,8.1E-11,20,15
3.72759372031494E-14,7.19685673001153E-12,0.0002142857,5.84285714285714E-11,5.84285714285714E-11,20,15
3.72759372031494E-14,1.63789370695407E-11,0.0001142857,8.1E-11,9.22857142857143E-11,20,15
3.72759372031494E-14,1.63789370695407E-11,0.0002285714,1.03571428571429E-10,1.26142857142857E-10,20,15
3.72759372031494E-14,3.72759372031494E-11,0.0001285714,1.37428571428571E-10,1.6E-10,20,15
3.72759372031494E-14,3.72759372031494E-11,0.0002571429,1.32857142857143E-11,5.84285714285714E-11,20,15
3.72759372031494E-14,8.48342898244072E-11,0.0001571429,2.45714285714286E-11,1.48714285714286E-10,20,15
3.72759372031494E-14,8.48342898244072E-11,0.0002714286,3.58571428571428E-11,1.03571428571429E-10,20,15
3.72759372031494E-14,1.93069772888325E-10,0.0001714286,4.71428571428571E-11,1.37428571428571E-10,20,15
3.72759372031494E-14,1.93069772888325E-10,0.0002857143,5.84285714285714E-11,1.14857142857143E-10,20,15
3.72759372031494E-14,4.39397056076079E-10,0.0001857143,6.97142857142857E-11,1.6E-10,20,15
3.72759372031494E-14,4.39397056076079E-10,0.0003,8.1E-11,1.48714285714286E-10,20,15
3.72759372031494E-14,0.000000001,0.0002,1.03571428571429E-10,1.6E-10,20,15
