identifier_id,k_matrix,k_fault,viscosity,S_matrix,S_fault,rate,fz_thickness
3258,7.19685673001153E-15,4.39397056076079E-10,0.0002428571,1.26142857142857E-10,1.6E-10,20,20
5618,7.19685673001153E-15,0.000000001,0.0001857143,4.71428571428571E-11,4.71428571428571E-11,20,20
6601,7.19685673001153E-15,0.000000001,0.0002428571,1.03571428571429E-10,1.37428571428571E-10,20,50
5896,1.63789370695407E-14,7.19685673001153E-12,0.0002,8.1E-11,1.48714285714286E-10,20,15
6780,1.63789370695407E-14,7.19685673001153E-12,0.0002571429,6.97142857142857E-11,1.37428571428571E-10,20,15
7336,1.63789370695407E-14,7.19685673001153E-12,0.0002857143,1.48714285714286E-10,1.48714285714286E-10,20,15
6796,1.63789370695407E-14,7.19685673001153E-12,0.0002571429,8.1E-11,1.48714285714286E-10,20,20
4097,1.63789370695407E-14,3.16227766016838E-12,0.0003,8.1E-11,1.6E-10,20,35
6106,1.63789370695407E-14,7.19685673001153E-12,0.0002142857,6.97142857142857E-11,1.48714285714286E-10,20,35
322,1.63789370695407E-14,1.63789370695407E-11,0.0001142857,8.1E-11,9.22857142857143E-11,20,15
546,1.63789370695407E-14,1.63789370695407E-11,0.0001285714,8.1E-11,8.1E-11,20,15
909,1.63789370695407E-14,1.63789370695407E-11,0.0001571429,1.32857142857143E-11,1.14857142857143E-10,20,15
1630,1.63789370695407E-14,1.63789370695407E-11,0.0002,4.71428571428571E-11,1.26142857142857E-10,20,15
2379,1.63789370695407E-14,1.63789370695407E-11,0.0002428571,1.03571428571429E-10,1.14857142857143E-10,20,15
6177,1.63789370695407E-14,3.72759372031494E-11,0.0002714286,8.1E-11,1.48714285714286E-10,20,20
97,1.63789370695407E-14,8.48342898244072E-11,0.0001571429,3.58571428571428E-11,1.37428571428571E-10,20,15
1551,1.63789370695407E-14,8.48342898244072E-11,0.0002428571,1.14857142857143E-10,1.26142857142857E-10,20,15
1974,1.63789370695407E-14,8.48342898244072E-11,0.0002714286,9.22857142857143E-11,1.6E-10,20,35
2589,1.63789370695407E-14,1.93069772888325E-10,0.0001,4.71428571428571E-11,1.6E-10,20,35
