k_matrix,k_fault,viscosity,S_matrix,S_fault,rate,fz_thickness
6.10540229658534E-16,2.27584592607479E-14,0.0002,9.22857142857143E-11,9.22857142857143E-11,20,75
6.10540229658534E-16,2.27584592607479E-14,0.0002142857,6.97142857142857E-11,1.14857142857143E-10,20,75
6.10540229658534E-16,5.1794746792312E-14,0.0002285714,8.1E-11,9.22857142857143E-11,20,75
2.27584592607479E-17,5.1794746792312E-14,0.0001142857,6.97142857142857E-11,9.22857142857143E-11,20,75
1E-17,1E-14,0.0001714286,4.71428571428571E-11,1.6E-10,20,75
5.17947467923122E-17,1E-14,0.0001857143,3.58571428571428E-11,6.97142857142857E-11,20,75
5.17947467923122E-17,2.27584592607479E-14,0.0001,1.14857142857143E-10,1.26142857142857E-10,20,75
1.38949549437314E-15,1E-14,0.0001857143,8.1E-11,1.14857142857143E-10,20,75
1.38949549437314E-15,1.17876863479359E-13,0.0001142857,2.45714285714286E-11,4.71428571428571E-11,20,75
3.16227766016838E-15,5.1794746792312E-14,0.0002142857,4.71428571428571E-11,5.84285714285714E-11,20,75
3.16227766016838E-15,2.68269579527973E-13,0.0001428571,9.22857142857143E-11,1.48714285714286E-10,20,75
3.16227766016838E-15,1.17876863479359E-13,0.0001,5.84285714285714E-11,1.03571428571429E-10,20,75
7.19685673001153E-15,6.10540229658534E-13,0.0002428571,1.6E-10,1.6E-10,20,75
1E-14,0.000000001,0.0002428571,1.6E-10,1.6E-10,20,75
1E-13,0.000000001,0.0002428571,1.6E-10,1.6E-10,20,75
1E-12,0.000000001,0.0002428571,1.6E-10,1.6E-10,20,75
1E-11,0.000000001,0.0002428571,1.6E-10,1.6E-10,20,75
